n,sparsity,k,dense_get_ns,dense_set_ns,dense_trans_ns,dense_scalar_ns,dense_sum_ns,dense_mul_ns,avl_get_ns,avl_set_ns,avl_trans_ns,avl_scalar_ns,avl_sum_ns,avl_mul_ns,hash_get_ns,hash_set_ns,hash_trans_ns,hash_scalar_ns,hash_sum_ns,hash_mul_ns
100, 0.009999999776, 100, 100, 0, 2400, 2400, 2500, 310000, 100, 200, 100, 6600, 10700, 14300, 100, 100, 100, 5700, 6100, 21300
100, 0.050000000745, 501, 0, 100, 2400, 2400, 2400, 309900, 200, 200, 0, 19900, 50100, 267300, 100, 0, 100, 26600, 33000, 418400
100, 0.100000001490, 1001, 100, 0, 2400, 2400, 2400, 327800, 200, 300, 0, 33400, 105400, 1154600, 100, 0, 0, 34400, 44300, 1668700
100, 0.200000002980, 2001, 0, 100, 2400, 2300, 2400, 318200, 200, 300, 0, 62900, 221900, 4144100, 100, 0, 0, 64400, 83700, 6202500
1000, 0.009999999776, 10000, 0, 0, 430300, 236900, 242900, 438252707, 300, 300, 0, 366700, 1224200, 16816400, 100, 0, 0, 362100, 434200, 250562604
1000, 0.050000000745, 50001, 100, 0, 366100, 243800, 217800, 439002007, 300, 400, 0, 1843200, 7895700, 617183410, 100, 0, 100, 2604100, 3100300, 20234791591
1000, 0.100000001490, 100001, 0, 0, 444400, 217000, 214800, 468945203, 600, 600, 0, 3426700, 15789900, 1838635729, 200, 100, 100, 4987601, 6273500, 83250314780
1000, 0.200000002980, 200001, 0, 0, 390400, 221400, 245800, 437416727, 700, 500, 0, 8178900, 36386303, 7436764165, 400, 100, 100, 9878099, 12988698, 329738877080
10000, 0.000000010000, 1, -1, -1, -1, -1, -1, -1, 100, 200, 100, 700, 500, 200, 100, 0, 0, 200, 300, 100
10000, 0.000000100000, 11, -1, -1, -1, -1, -1, -1, 0, 100, 0, 800, 1400, 300, 0, 100, 0, 300, 600, 400
10000, 0.000001000000, 100, -1, -1, -1, -1, -1, -1, 0, 100, 0, 5300, 7700, 1700, 100, 100, 100, 4800, 5100, 15600
100000, 0.000000001000, 10, -1, -1, -1, -1, -1, -1, 100, 100, 0, 700, 1000, 300, 0, 0, 0, 300, 600, 600
100000, 0.000000010000, 100, -1, -1, -1, -1, -1, -1, 100, 200, 0, 4300, 6500, 1700, 100, 0, 0, 5100, 5400, 13100
100000, 0.000000100000, 1001, -1, -1, -1, -1, -1, -1, 200, 100, 0, 44100, 3710199, 30900, 100, 0, 100, 30500, 38900, 933600
1000000, 0.000000000100, 101, -1, -1, -1, -1, -1, -1, 100, 100, 100, 5400, 8200, 2000, 100, 100, 100, 4200, 6300, 12500
1000000, 0.000000001000, 1000, -1, -1, -1, -1, -1, -1, 100, 200, 0, 44300, 80500, 21600, 100, 100, 0, 30700, 38700, 998000
1000000, 0.000000010000, 10000, -1, -1, -1, -1, -1, -1, 300, 300, 0, 553500, 1086900, 366800, 100, 0, 0, 248700, 368200, 278444286
